OBJECTID,contract_number,contract_description,contract_status,contract_type,contract_subtype,last_modified,original_amount,revised_amount,vendor_id,vendor_name,objectid_1
607,91200200,STATION 8 ROOF EDGE REPAIR                        ,CLOSED,CON  (CONSTUCT/R),,2011/11/30 00:00:00+00,9718,9718,4174,CAROLINA MOUNTAIN ROOFING,606
608,91600041,RADIO DISPATCHERS PER ADD. 2 TO INTERGOVT AGRMT   ,CLOSED,GS   (GEN SERV),,2016/10/25 00:00:00+00,187241,187735.16,416,BUNCOMBE COUNTY FINANCE DEPT,607
609,91400287,CHANGE AIR CONDITIONING UNIT TO HEAT PUMP         ,CLOSED,CON  (CONSTUCT/R),,2015/06/18 00:00:00+00,19958,28949,1188,M B HAYNES CORPORATION,608
610,92200277,GRANT CENTER CONSTRUCTION                         ,POSTED,CON  (CONSTUCT/R),,2021/12/20 00:00:00+00,7463892,7463892,23176,HARPER CORPORATION - GENERAL CONTRACTORS,609
611,92000176,GE UNISON 2019 ECONOMIC INCNTV AGRMNT  - PAYMNT #1,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,225240,225240,32198,GENERAL ELECTRIC COMPANY,610
612,91300034,BRUSH AND LEAF DISPOSAL FOR COA - FY13            ,CLOSED,GENERAL,,2015/08/14 00:00:00+00,68700,68700,1244,HENSONS INC,611
613,92000382,SUPPLEMENTAL AGREEMENT - WATER SYSTEM FLUSHING    ,CLOSED,PRO  (PRO SERVIC),SUPPLMNTL ON CALL,2021/10/04 00:00:00+00,50000,49992.5,16675,"HAZEN AND SAWYER, D P.C.",612
614,92100205,"REGISTRATION/PROGRAM FEE, RECERTIFICATION AUDIT   ",POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,17985,17985,6573,NSF - ISR,613
615,91900232,PROPERTY TAX BILLING FEE                          ,CLOSED,GS   (GEN SERV),,2019/06/28 00:00:00+00,795000,795000,416,BUNCOMBE COUNTY FINANCE DEPT,614
616,91400201,FLOW TEST SCOTT AIR PAKS                          ,CLOSED,GENERAL,,2014/05/28 00:00:00+00,10608.06,10608.06,14955,"RHINEHART FAMILY COMPANY, INC.",615
617,92000480,AUTOMATIC PASSENGER COUNTER DATA PROCESSING       ,POSTED,GS   (GEN SERV),,2022/01/10 00:00:00+00,0,10787,18415,URBAN TRANSPORTATION ASSOCIATES,616
618,91500052,PRESSURE WASH PREP PAINT 2 PARK SHELTERS          ,CLOSED,CON  (CONSTUCT/R),,2015/06/17 00:00:00+00,4800,4800,15995,"FRESHWATER FINISHES, LLC",617
619,91800278,BIKE SHARE FEASIBILITY STUDY-RFP298-BSHAREFEAS0607,CLOSED,GS   (GEN SERV),,2020/04/27 00:00:00+00,49949,64449,20175,"ALTA PLANNING & DESIGN, INC.",618
620,92000099,S MARKET ST STREET LIGHT BY DUKE                  ,POSTED,CON  (CONSTUCT/R),,2021/08/20 00:00:00+00,14121.46,14121.46,30697,"DUKE ENERGY PROGRESS, LLC",619
621,91700163,RADTIP CONTAMINATED WASTE                         ,CLOSED,GS   (GEN SERV),,2017/08/01 00:00:00+00,50000,116356.64,3574,MOUNTAIN ENVIRONMENTAL SERVICE,620
622,91200125,EAST OAKVIEW ROAD BRIDGE REPLACEMENT              ,CLOSED,CON  (CONSTUCT/R),,2013/04/17 00:00:00+00,1314008.63,1093073.72,2560,TAYLOR & MURPHY CONSTR,621
623,92200090,FY 20/21 HOME TBRA                                ,POSTED,HUD (GEN SERV-HUD),HOME,2021/08/20 00:00:00+00,18750,18750,14834,"ELIADA HOMES, INC.",622
624,91600214,TIP OF WNC CITIZEN EMERGENCY RESPONSE PROGRAM     ,CLOSED,GS   (GEN SERV),,2016/12/05 00:00:00+00,10465,10465,23770,"TRAUMA INTERVENTION PROGRAMS, INC.",623
625,91900285,NEW LEICESTER HGHWY SIDEWALK - EASEMENT ACQUISITIN,CLOSED,PRO  (PRO SERVIC),,2021/01/22 00:00:00+00,89842.5,73508.8,29854,"WITHERSRAVENEL, INC.",624
626,91400047,ANNUAL CONTRACT MULTIPLE LOCATIONS                ,CLOSED,GS   (GEN SERV),,2015/06/17 00:00:00+00,20845,20816.12,812,DODSON BROS EXTERMINATING,625
627,92200281,CJIS/CDE FY22 CONTINUATION OF SERVICES            ,POSTED,GS   (GEN SERV),AGREEMENT,2022/01/03 00:00:00+00,990419,990419,416,BUNCOMBE COUNTY FINANCE DEPT,626
628,91400208,HVAC REPLACEMENT PARKING GARAGE OFFICES           ,CLOSED,CON  (CONSTUCT/R),,2014/05/21 00:00:00+00,11215,11215,2152,R & W INC,627
629,91900094,TEMPORARY ART FOR 68 HAYWOOD ST                   ,CLOSED,GS   (GEN SERV),,2019/05/24 00:00:00+00,7640,7640,16373,JENNIFER GREER FARES,628
630,92100428,FRENCH BROAD RIVER GREENWAY CLEANUP               ,CLOSED,GS   (GEN SERV),,2022/02/21 00:00:00+00,9200,9200,25250,MS LEAN,629
631,91100686,MCCORMICK FIELD BACKSTOP NETTING REPLACEMENT      ,CLOSED,GS   (GEN SERV),,2012/06/27 00:00:00+00,63000,59029.89,5844,MEDALLION ATHLETIC PRODUCTS IN,630
632,91900196,HAYWOOD STREETSCAPE - DESIGN .                    ,CLOSED,PRO  (PRO SERVIC),,2022/01/18 00:00:00+00,231442,219777,1706,MCGILL ASSOCIATES PA,631
633,91000585,REPAIR OF MARTIN YALE 1217A PAPER FOLDER SN#51992 ,CLOSED,GS   (GEN SERV),,2010/05/28 00:00:00+00,98.5,98.5,10436,BUSINESS EQUIPMENT SERVICE,632
634,92000137,BOWEN NATIONAL RESEARCH - AFFORDABLE HOUSING UPDAT,CLOSED,GS   (GEN SERV),SERVICE,2020/06/15 00:00:00+00,29900,29900,19827,"BOWEN NATIONAL RESEARCH, LLC",633
635,91300269,TO BE USED ON LAKESHORE TO REMOVE LARGE TREE/MARK ,CLOSED,RNT  (EQUIP RENT),,2015/05/21 00:00:00+00,908.25,1076.25,8560,CAMPBELL CRANE,634
636,91100564,CHANGE ORDER FOR CLOSED PO#91420                  ,CLOSED,PRO  (PRO SERVIC),,2010/11/16 00:00:00+00,91512.43,91512.43,7561,CORT ARCHITECTURAL GROUP PA,635
637,91900185,ONTRACK FINANCIAL -VOUNTEER INCOME TAX FY 18-19   ,CLOSED,GS   (GEN SERV),,2019/06/28 00:00:00+00,7500,7500,560,ONTRACK FINANCIAL ED & COUNSEL,636
638,91300075,BELE CHERE ENTERTAINMENT                          ,CLOSED,ENT  (ENTERTAIN),,2012/07/20 00:00:00+00,7700,7700,14772,BBS ENTERTAINMENT INC.,637
639,91100130,BC 10 STAGE MANAGER                               ,CLOSED,GS   (GEN SERV),,2010/07/08 00:00:00+00,575,575,9099,WILLIAM LEE CLARKE,638
640,91000214,TREE AND HARDWOOD REMOVAL                         ,CLOSED,GS   (GEN SERV),,2010/01/28 00:00:00+00,6500,6500,10032,"LIPE, JOHN R., JR.",639
641,91100719,BRENDA LEE FENNELL                                ,CLOSED,GS   (GEN SERV),,2011/06/16 00:00:00+00,1000,1875,11612,"FENNELL, BRENDA LEE",640
642,91600230,REPAIRING MOTOR FOR ELEVATOR 3                    ,CLOSED,GS   (GEN SERV),,2017/05/01 00:00:00+00,5800,17495,20473,"BRIGMAN ELECTRIC SALES AND SERVICE, LLC",641
643,92200195,SUPPORT FOR CITYWORKS                             ,POSTED,GS   (GEN SERV),SERVICE,2021/10/11 00:00:00+00,14505,14505,22777,TIMMONS GROUP INC.,642
644,91100141,BC10 ENTERTAINER                                  ,CLOSED,ENT  (ENTERTAIN),,2010/07/08 00:00:00+00,200,200,10759,"RAFFERTY, ADAM",643
645,91500270,200 BINGHAM RD: VAPOR INTRUSION MITIGATION DESIGN ,CLOSED,PRO  (PRO SERVIC),,2018/05/24 00:00:00+00,37100,49081.69,12332,"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC.",644
646,92200113,REPLACEMENT OF CELLULAR EQUIMENT AT REMOTE SITES  ,POSTED,GS   (GEN SERV),,2021/07/26 00:00:00+00,24498.35,24498.35,37330,"SIMPLE COMMUNICATIONS TECHNOLOGIES, LLC",645
647,91100094,JULY 4TH ENTERTAINER-BRUSHFIRE STANKGRASS         ,CLOSED,ENT  (ENTERTAIN),,2010/07/02 00:00:00+00,500,500,7075,WILLIAM N SAYLOR,646
648,91700187,ASHEVILLE AREA ARTS COUNCIL SPF                   ,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2017/08/10 00:00:00+00,10000,10000,685,ASHEVILLE AREA ARTS COUNCIL,647
649,92100527,WALL ST GARAGE ELEVATOR MONITORING                ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,250,250,5519,"JOHNSON CONTROLS, INC.",648
650,91100585,POSTAGE WATER RESOURCES                           ,CLOSED,GS   (GEN SERV),,2012/08/30 00:00:00+00,24000,24000,3204,MAIL MANAGEMENT SERVICES,649
651,91600211,ROGER MCGUIRE RE-SOD                              ,CLOSED,CON  (CONSTUCT/R),,2016/04/12 00:00:00+00,12300,11059.12,23671,35 DEGREES NORTH LANDSCAPE SERVICES,650
652,91700343,CANDIDATE RECRUITING EQUITY & INCLUSION MANAGER   ,CLOSED,GS   (GEN SERV),,2019/06/10 00:00:00+00,25000,24993.84,27192,THE HAWKINS COMPANY,651
653,91000405,ATHLETIC OFFICIAL - DANIEL RICE                   ,CLOSED,PRO  (PRO SERVIC),,2013/01/30 00:00:00+00,1076,5896,8736,DANIEL RICE,652
654,91600250,SCADA SYSTEM & BI-CYCLE SUPPLEMENTAL AGREEMENT    ,CLOSED,PRO  (PRO SERVIC),,2021/05/26 00:00:00+00,69770,61616.53,5778,BROWN AND CALDWELL,653
655,92100263,CJIS FY 20-21 CONTINUATION OF SERVICES            ,CLOSED,GS   (GEN SERV),,2022/01/10 00:00:00+00,480000,906943.63,416,BUNCOMBE COUNTY FINANCE DEPT,654
656,91000119,AVST CALLXPRESS XPRESSCARE LICENSE RENEWAL        ,CLOSED,GS   (GEN SERV),,2010/01/06 00:00:00+00,2990,2990,2533,SOUTHEASTERN TELECOM INC,655
657,92000321,INSTALLATION OF 2 EXHAUST & 2 VENT FANS MR/WTP    ,CLOSED,GS   (GEN SERV),,2020/06/26 00:00:00+00,13943.69,13062,1650,"BOLTON CONSTRUCTION AND SERVICE OF WNC, INC.",656
658,91700340,EMERG. AND EXIT LIGHTS FOR MILLS RIVER            ,CLOSED,GS   (GEN SERV),,2017/08/10 00:00:00+00,7750,7750,1188,M B HAYNES CORPORATION,657
659,91100164,RADIOS FOR BELE CHERE 10                          ,CLOSED,GS   (GEN SERV),,2010/07/14 00:00:00+00,1743.8,1743.8,10811,TJ COMMUNICATIONS,658
660,91300216,SUPPORT SERVICES FOR MAXIMO                       ,CLOSED,GS   (GEN SERV),,2014/04/25 00:00:00+00,15000,15000,11749,"STARBOARD CONSULTING, LLC.",659
661,91300206,CRANE TO REMOVE TREE ON LAKESHORE DRIVE           ,CLOSED,GS   (GEN SERV),,2013/03/04 00:00:00+00,935,0,15918,"ASHEVILLE CRANE, INC",660
662,91800164,NATURE CENTER ASPHALT PAVING PROJECT              ,CLOSED,CON  (CONSTUCT/R),,2018/05/21 00:00:00+00,9993.5,9085,19170,FROST PAVING,661
663,91100732,INSTALL GAS UNIT AT THE SENIOR CENTER             ,CLOSED,GS   (GEN SERV),,2011/03/10 00:00:00+00,12947,12947,1684,MCNUTT SERVICE GROUP INC,662
664,91100657,REPAIR LEAKS AT WC REED CENTER                    ,CLOSED,GS   (GEN SERV),,2011/12/07 00:00:00+00,1665,1665,11055,MCELRATH ROOFING INC.,663
665,91100638,"PRE EMPLOYMENT SCREENING, MEDICAL EXAMS, ETC.     ",CLOSED,GS   (GEN SERV),,2012/06/27 00:00:00+00,1350,720,8100,"LAW ENFORCEMENT SERVICES GROUP, PLLC",664
666,91800368,PSYCHOLOGICAL SERVICES FOR APD                    ,CLOSED,GS   (GEN SERV),,2021/06/04 00:00:00+00,40000,51770,8100,"LAW ENFORCEMENT SERVICES GROUP, PLLC",665
667,91100557,SERVICE FOR MILLS RIVER LAB TURB                  ,CLOSED,GENERAL,,2010/11/11 00:00:00+00,588.94,588.94,10016,HACH COMPANY,666
668,92200287,SIDEWALK AMBOY RD RIDGE 321 LYMAN ST TO RIVERVIEW ,POSTED,CON  (CONSTUCT/R),,2022/01/31 00:00:00+00,77500,77750,1881,NC DEPT OF TRANSPORTATION,667
669,92100151,MASTER ON-CALL AGREEMENT GENERAL                  ,POSTED,PRO  (PRO SERVIC),MASTER ON CALL,2021/08/20 00:00:00+00,1,1,29854,"WITHERSRAVENEL, INC.",668
670,91100711,PARKER POE- TRANSIT SAFETY AUDIT                  ,CLOSED,GS   (GEN SERV),,2011/08/25 00:00:00+00,24999,24999,2071,PARKER POE ADAMS & BERNSTEIN LLP,669
671,91100565,12/4/10 PERFORMANCE-IN THE NUTCRACKER MOOD        ,CLOSED,GS   (GEN SERV),,2010/11/16 00:00:00+00,250,250,7306,MOUNTAIN MARIONETTES,670
672,91200171,BAGGED LEAF MAILING                               ,CLOSED,GENERAL,,2014/05/29 00:00:00+00,8650,6914.41,3204,MAIL MANAGEMENT SERVICES,671
673,91000238,REPAIRS TO FENCING AT THE WNC NATURE CENTER       ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,10955,10955,1119,GRINDSTAFF FENCE COMPANY INC,672
674,92200267,FY 21/22 ABCCM CODE PURPLE SHELTER                ,POSTED,GS   (GEN SERV),SERVICE,2022/02/09 00:00:00+00,20000,100000,10118,"ASHEVILLE BUNCOMBE COMM CHRISTIAN MINISTRY, INC.",673
675,91500187,DESIGN AND EDITING OF ALL ARTWORK FOR TRANSIT MAPS,CLOSED,GS   (GEN SERV),,2019/10/23 00:00:00+00,32439.66,72970.4,16363,"TRACI JONES DESIGN, LLC",674
676,91000326,AUTOMATED METER READING DEVICES (AMR)             ,CLOSED,GS   (GEN SERV),,2019/03/27 00:00:00+00,1790000,4375249.29,10139,"MUELLER SYSTEMS, LLC",675
677,91800313,CMAR FOR USCC RENOVATION AND HVAC.                ,CLOSED,CON  (CONSTUCT/R),,2022/02/17 00:00:00+00,67000,4131810.73,29803,"J. BRADY CONTRACTING, INC",676
678,91300221,A&E FOR GREENWAY AND STORMWATER DESIGN            ,CLOSED,PRO  (PRO SERVIC),,2016/05/26 00:00:00+00,370000,492082.92,6842,SITEWORK STUDIOS,677
679,91100248,SUMMER CAMP INSTRUCTOR - NICOLE PHELPS            ,CLOSED,INS  (INSTRUCTOR),,2010/07/27 00:00:00+00,1425,1425,7650,MELISSA NICOLE PHELPS,678
680,91700181,CHILDREN FIRST STRATEGIC PARTNERSHIP FUND FY 16-17,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2017/08/01 00:00:00+00,20000,20000,3396,CHILDREN FIRST/COMMUNITIES IN SCHOOLS OF BUNCOMBE,679
681,91800308,TV ADVERTISING                                    ,CLOSED,GS   (GEN SERV),,2019/03/27 00:00:00+00,20000,19004,2892,WLOS TV,680
682,91800176,CAR RENTAL SERVICES                               ,CLOSED,GS   (GEN SERV),,2020/06/15 00:00:00+00,55000,88000,3507,"EAN HOLDINGS, LLC",681
683,91100559,                                                  ,CLOSED,ENT  (ENTERTAIN),,2010/11/12 00:00:00+00,1000,1000,6200,ASHEVILLE LYRIC OPERA,682
684,91300141,NEW TRANE HEAT PUMP FOR NF FILTER BUILDING        ,CLOSED,GS   (GEN SERV),,2012/09/18 00:00:00+00,8506,8506,1188,M B HAYNES CORPORATION,683
685,91500236,PACKING AND RELOCATING 6TH FLOOR TO 20 PACK       ,CLOSED,GS   (GEN SERV),,2015/06/17 00:00:00+00,8032.5,11842.05,20285,"SMITH DRAY LINE & STORAGE CO., INC.",684
686,92100481,FS 4 MACHALERT SYSTEM                             ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,49823,49823,11516,"MOTOROLA SOLUTIONS, INC.",685
687,91700378,TIGER VI DUKE UTILITY RELOCATION AGREEMENT 1 .    ,CLOSED,GS   (GEN SERV),,2021/10/19 00:00:00+00,2757654.93,2520708.55,512,DUKE ENERGY PROGRESS INC.,686
688,91900325,2019  ANNUAL DAM SAFETY INSPECTION FOR WILLIAM DEB,CLOSED,PRO  (PRO SERVIC),EXEMPTION,2019/08/13 00:00:00+00,10660,10660,4596,SCHNABEL ENGINEERING SOUTH PC,687
689,91700148,CDBG HELPMATE - DOMESTIC VIOLANCE SVC FY 16-17    ,CLOSED,HUD (GEN SERV-HUD),CDBG,2017/06/29 00:00:00+00,19000,19000,1235,HELPMATE INC,688
690,91800280,COMMUNITY GARDEN NETWORK                          ,CLOSED,GS   (GEN SERV),,2018/08/14 00:00:00+00,5000,5000,26385,BOUNTIFUL CITIES PROJECT INC,689
691,92000465,INSTALL MITSUBISHI MINI SPLI FOR THE DRESSING ROOM,CLOSED,GS   (GEN SERV),,2020/08/19 00:00:00+00,7078,7078,28417,GENTRY HEATING LLC,690
692,91000620,MAXIMO 7 UPGRADE ASSESSMENT                       ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,5791.4,5791.4,4495,EMA SERVICES INC,691
693,91600153,POSTAGE - WATER RESOURCES Y2 OF MULTI-YR CONTRACT ,CLOSED,GS   (GEN SERV),,2017/05/10 00:00:00+00,200000,199604.41,3204,MAIL MANAGEMENT SERVICES,692
694,91900124,TRAFFIC SIGNAL AT VICTORIA/LIVINGSTON STS         ,CLOSED,GS   (GEN SERV),,2019/09/19 00:00:00+00,120000,108994.36,1726,MISSION HOSPITALS,693
695,91000468,TREE PLANTING CONTRACT                            ,CLOSED,GS   (GEN SERV),,2010/08/10 00:00:00+00,4450,4450,10266,BLUE RIDGE LANDSCAPING & LAWN MAINTENANCE,694
696,91700334,NORTH FORK WTP ROOF CONDITION ASSESSMENT & REPLACE,CLOSED,PRO  (PRO SERVIC),,2018/06/04 00:00:00+00,67175,73598.69,21083,"GHD CONSULTING SERVICES, INC.",695
697,92100143,GRANT NC 2020-057-00 FFY 2018-5310 ENHANCED MOBILI,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,13690,13690,30754,"COUNCIL ON AGING OF BUNCOMBE COUNTY, INC",696
698,91100239,                                                  ,CLOSED,GENERAL,,2011/06/30 00:00:00+00,23898,23898,7727,EMPLOYEE ASSISTANCE NETWORK IN,697
699,91200184,PARTITIONS FOR GRANT CENTER                       ,CLOSED,GS   (GEN SERV),,2012/02/10 00:00:00+00,23926,24491.13,585,CAROLINA CORNERSTONE CONSTRUCT,698
700,92000166,MOWING IN VARIOUS COA PARKS JULY-OCT 2019         ,CLOSED,GS   (GEN SERV),,2020/04/23 00:00:00+00,15268,7892.18,25250,MS LEAN,699
701,92100122,INFORMATION AND TRUTH TELLING SESSIONS ENGAGEMENT ,CLOSED,GS   (GEN SERV),,2021/11/16 00:00:00+00,4900,44990,35282,"SHEMEKKA EBONY,LLC",700
702,91900382,VENDOR SELF SERVE                                 ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,27160,27160,6735,TYLER TECHNOLOGIES/MUNIS DIVIS,701
703,91300208,SCOTT SCBA FUNCTIONAL TESTS                       ,CLOSED,GENERAL,,2013/01/17 00:00:00+00,18309.7,18309.7,5823,"MUNICIPAL EMERGENCY SERVICES, INC.",702
704,91100246,AUTO BODY CONTRACT                                ,CLOSED,GENERAL,,2013/10/11 00:00:00+00,60000,10111.29,234,ANCHOR-RICHEY,703
705,91100072,SUMMER CAMP FACILITATOR - KEVIN FITZPATRICK       ,CLOSED,INS  (INSTRUCTOR),,2010/07/02 00:00:00+00,775,775,10667,"FITZPATRICK, KEVIN",704
706,91600245,NEW WEBSITE DESIGN                                ,CLOSED,GS   (GEN SERV),,2019/06/12 00:00:00+00,29983,28344,24051,"GRANICUS, INC",705
707,91900127,RICHMOND HILL PARK INOVATIONS                     ,CLOSED,PRO  (PRO SERVIC),,2021/03/10 00:00:00+00,66900,80437.24,30461,DOMOKUR ARCHITECTS INC,706
708,92200269,SMS SERVICES FOR ART PASSENGERS                   ,POSTED,GS   (GEN SERV),,2021/12/09 00:00:00+00,11988,11988,31059,"TEXTMARKS, INC.",707
709,91900274,INSTALLATION OF CHARGING STATIONS-PROTERRA BUSES  ,CLOSED,CON  (CONSTUCT/R),,2019/05/30 00:00:00+00,79510,79510,31568,"RENEWABLE DESIGN ASSOCIATES, LLC",708
710,91100194,ATHLETIC OFFICIAL - JIMMY BRANCH JR.              ,CLOSED,PRO  (PRO SERVIC),,2013/01/30 00:00:00+00,3000,2988,8458,JIMMY L BRANCH JR.,709
711,92200231,FY 21/22 PU ACADEMIC ENHANCEMENT PRG.             ,POSTED,HUD (GEN SERV-HUD),CDBG,2021/11/01 00:00:00+00,10000,10000,7213,"PARTNERS UNLIMITED,INC,",710
712,92000376,ISO AUDIT/REGISTRATION FEE/EXPENSES               ,CLOSED,GS   (GEN SERV),SERVICE,2020/06/24 00:00:00+00,5062.36,5062.36,6573,NSF - ISR,711
713,91000603,TRAINING FOR NUCLEAR DENSITY GUAGE                ,CLOSED,GS   (GEN SERV),,2010/07/20 00:00:00+00,1890,1950,10502,"HUMBOLDT SCIENTIFIC, INC.",712
714,91900331,CIVIC CENTER GARAGE RESTORATION                   ,POSTED,CON  (CONSTUCT/R),,2021/08/20 00:00:00+00,274000,408000,31983,RESTOCON CORPORATION,713
715,92200256,TREE WORK WORKING WITH THE CITY ARBORIST          ,POSTED,GS   (GEN SERV),,2022/01/26 00:00:00+00,5675,5900,37456,ASHEVILLE ARBORIST INC,714
716,91700189,BURNETT RESERVOIR MINIMUM RELEASE PROTOCOL EVAL   ,CLOSED,PRO  (PRO SERVIC),,2017/07/28 00:00:00+00,38515,38515,1706,MCGILL ASSOCIATES PA,715
717,91800293,LEAN GOVERNMENT KAIZEN FACILITATION               ,CLOSED,GS   (GEN SERV),,2018/06/18 00:00:00+00,12800,12800,1377,NC STATE UNIVERSITY,716
718,91400137,HYBRID CLOUD ANNUAL LICENSE                       ,CLOSED,GS   (GEN SERV),,2015/08/03 00:00:00+00,10000,22500,17833,"CLOUDVELOX, INC.",717
719,91200177,POLICE CHIEF RECRUITMENT                          ,CLOSED,GS   (GEN SERV),,2012/03/07 00:00:00+00,18550,20125,10877,DEVELOPMENTAL ASSOCIATES,718
720,91100221,HVAC MAINT AT WATER MAINTENANCE                   ,CLOSED,GS   (GEN SERV),,2012/06/28 00:00:00+00,2000,887,1684,MCNUTT SERVICE GROUP INC,719
721,91800092,CLEANING SERVICE 5 DAY/WK AT 200 BINGHAM ROAD     ,CLOSED,GS   (GEN SERV),,2019/05/17 00:00:00+00,22494,22494,10038,"CLEAN ENVIRONMENTS OF ASHEVILLE, INC.",720
722,91900385,ASTON PARK BLEACHERS PADS                         ,CLOSED,GS   (GEN SERV),,2019/08/01 00:00:00+00,11500,11500,5260,"B ALLEN CONSTRUCTION, INC.",721
723,91900134,ONE YOUTH AT A TIME SPF FY 18-19                  ,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2020/06/15 00:00:00+00,7500,7500,1983,ONE YOUTH AT A TIME,722
724,92200110,BUS SHELTER INSTALLS-MONTFORD-BULL DOG-GERBER-TURT,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,14725,14725,10873,WILLIAM A STEWART SUPERIOR PAINTING INC.,723
725,91000275,                                                  ,CLOSED,GS   (GEN SERV),,2010/02/15 00:00:00+00,750,750,10097,"RUFFINI, NINA",724
726,92100127,EMBEDDED SERVICES  RENEWAL 1 OF 2                 ,POSTED,GS   (GEN SERV),,2022/02/09 00:00:00+00,88000,296000,32024,RESPONDER SUPPORT SERVICES,725
727,92200095,HEARING BOOTH SOFTWARE                            ,CLOSED,GS   (GEN SERV),,2021/07/14 00:00:00+00,990,990,6352,WORKPLACE INTEGRA HEARING,726
728,91300157,PHYSICIAN SVCS FOR HEALTH SERVICES                ,CLOSED,LW   (DON'T USE),,2014/06/17 00:00:00+00,120000,120000,1694,ASHEVILLE ADDICTION CONSULTANT,727
729,91300309,HOTEL ROOMS FOR BELE CHERE CREW                   ,CLOSED,GS   (GEN SERV),,2013/08/07 00:00:00+00,8000,9068.7,9094,SKYLAND INN LLC,728
730,91500028,ALARM AND SPRINKLER FOR FY 14-15                  ,CLOSED,GS   (GEN SERV),,2018/05/15 00:00:00+00,18280,46809.74,7265,SIMPLEXGRINNELL,729
731,91900046,BULK WASTE COLLECTION MASTER CONTRACT             ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,89999,343026.47,11254,WASTE PRO,730
732,91200136,CO #1 FY12                                        ,CLOSED,GS   (GEN SERV),,2014/04/15 00:00:00+00,15000,25909.41,1188,M B HAYNES CORPORATION,731
733,91700351,HUNT HILL CCTV                                    ,CLOSED,GS   (GEN SERV),,2018/05/21 00:00:00+00,6850,6850,1188,M B HAYNES CORPORATION,732
734,91900088,WOOD ENVIRONMENTAL - DEAVERVIEW ROAD              ,CLOSED,PRO  (PRO SERVIC),,2019/06/13 00:00:00+00,2000,2000,12332,"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC.",733
735,91500145,HORIZON HILLS WATER IMPROVEMENTS                  ,CLOSED,CON  (CONSTUCT/R),,2016/11/29 00:00:00+00,1779590.4,1897288.34,19647,"THOMAS CONSTRUCTION CO., INC.",734
736,92000510,VARIOUS PARKS PICNIC SHELTER PAINTING             ,CLOSED,GS   (GEN SERV),,2020/08/13 00:00:00+00,9400,9400,31351,ERICK LEE,735
737,92200188,FISERV (BYPASS MOBILE) SOFTWARE LICENSE FOR FOOD A,CREATED,GS   (GEN SERV),,2021/09/28 00:00:00+00,24036,24036,37833,FIRST DATA CORPORATION (SUBSIDIARY OF FISERV),736
738,91100761,MLK PLAYGROUND RENOVATION                         ,CLOSED,GS   (GEN SERV),,2011/10/26 00:00:00+00,98763.38,98763.38,11752,"LAND OF THE SUN, INC",737
739,92200211,REPAIRS TO TELESCOPIC SEATING IN ARENA            ,POSTED,GS   (GEN SERV),,2021/10/25 00:00:00+00,12528.69,12528.69,12351,IRWIN SEATING COMPANY,738
740,91900351,ASPHALT PRESERVATION                              ,CLOSED,CON  (CONSTUCT/R),,2020/05/04 00:00:00+00,481113.4,343094.64,31994,"SLURRY PAVERS, INC.",739
741,91200340,CONSTRUCT DUGOUTS AT MURPHY OAKLEY                ,CLOSED,CON  (CONSTUCT/R),,2012/09/05 00:00:00+00,58725,58725,585,CAROLINA CORNERSTONE CONSTRUCT,740
742,91800175,DUKE UTILITY AGREEMENT - TRANSMISSION 2           ,CLOSED,GS   (GEN SERV),,2018/05/25 00:00:00+00,1034033,1034033,512,DUKE ENERGY PROGRESS INC.,741
743,91100524,OUTSIDE AGENCY GRANT                              ,CLOSED,GS   (GEN SERV),,2010/10/26 00:00:00+00,17800,17800,3396,CHILDREN FIRST/COMMUNITIES IN SCHOOLS OF BUNCOMBE,742
744,91100089,BC ENTERTAINER - INNERVISIONS                     ,CLOSED,ENT  (ENTERTAIN),,2010/07/02 00:00:00+00,1100,1100,10723,"INNER VISIONS ENTERTAINMENT, LLC",743
745,91700223,READ TO SUCCEED -PARENT OUTREACH SPF FY 16-17     ,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2020/06/16 00:00:00+00,4000,3272.36,22654,READ TO SUCCEED ASHEVILLE,744
746,92200215,FY 21/22 ABCLT PERM AFFODABLE HOUSING SVCS.       ,CREATED,HUD (GEN SERV-HUD),CDBG,2021/11/01 00:00:00+00,39184,39184,35447,ASHEVILLE-BUNCOMBE COMMUNITY LAND TRUST,745
